Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1997,St. Louis Cardinals,NL Central,162,73,89,0,0.451,0.488,4th of 5,11,,689,708,"2,634,014",30,29.5,51,25,R.Lankford (5.3),T.La Russa (73-89)
1996,St. Louis Cardinals,NL Central,162,88,74,0,0.543,0.533,1st of 5,--,Lost NLCS (4-3),759,706,"2,654,718",30.7,30.9,38,18,B.Jordan (5.5),T.La Russa (88-74)
1995,St. Louis Cardinals,NL Central,143,62,81,0,0.434,0.429,4th of 5,22.5,,563,658,"1,756,727",28.7,30.2,46,21,B.Jordan (5.2),J.Torre (20-27) and M.Jorgensen (42-54)
1994,St. Louis Cardinals,NL Central,115,53,61,1,0.465,0.432,3rd of 5,13,,535,621,"1,866,544",28.9,29.4,37,18,M.Whiten (3.1),J.Torre (53-61)
1993,St. Louis Cardinals,NL East,162,87,75,0,0.537,0.509,3rd of 7,10,,758,744,"2,844,977",28,28.7,39,18,G.Jefferies (5.1),J.Torre (87-75)
1992,St. Louis Cardinals,NL East,162,83,79,0,0.512,0.52,3rd of 6,13,,631,604,"2,418,483",28.6,28.7,39,15,B.Tewksbury (6.2),J.Torre (83-79)
1991,St. Louis Cardinals,NL East,162,84,78,0,0.519,0.502,2nd of 6,14,,651,648,"2,448,699",28.5,29.4,36,18,O.Smith (5.1),J.Torre (84-78)
1990,St. Louis Cardinals,NL East,162,70,92,0,0.432,0.43,6th of 6,25,,599,698,"2,573,225",29.4,29.8,43,22,W.McGee (4.5),"W.Herzog (33-47), R.Schoendienst (13-11) and J.Torre (24-34)"
1989,St. Louis Cardinals,NL East,164,86,76,2,0.531,0.518,3rd of 6,7,,632,608,"3,080,980",29.3,28.2,33,15,O.Smith (7.3),W.Herzog (86-76)
1988,St. Louis Cardinals,NL East,162,76,86,0,0.469,0.459,5th of 6,25,,578,633,"2,892,799",28.1,28.9,41,19,O.Smith (6.6),W.Herzog (76-86)
1987,St. Louis Cardinals,NL East,162,95,67,0,0.586,0.564,1st of 6,--,Lost WS (4-3),798,693,"3,072,122",28.1,27.9,39,18,O.Smith (6.4),W.Herzog (95-67)
1986,St. Louis Cardinals,NL East,161,79,82,0,0.491,0.492,3rd of 6,28.5,,601,611,"2,471,974",27.4,28.6,38,17,O.Smith (5.6),W.Herzog (79-82)
1985,St. Louis Cardinals,NL East,162,101,61,0,0.623,0.62,1st of 6,--,Lost WS (4-3),747,572,"2,637,563",27.7,29,37,16,J.Tudor (8.2),W.Herzog (101-61)
1984,St. Louis Cardinals,NL East,162,84,78,0,0.519,0.505,3rd of 6,12.5,,652,645,"2,037,448",28.2,27,41,17,O.Smith (5.0),W.Herzog (84-78)
1983,St. Louis Cardinals,NL East,162,79,83,0,0.488,0.48,4th of 6,11,,679,710,"2,317,914",27.5,27.7,42,18,D.Porter (3.9),W.Herzog (79-83)
1982,St. Louis Cardinals,NL East,162,92,70,0,0.568,0.554,1st of 6,--,Won WS (4-3),685,609,"2,111,906",27.8,28.7,33,14,L.Smith (6.2),W.Herzog (92-70)
